AHK Function;code line;AHK File
acc_Child(pacc, idChild);100;ACC_more.ahk
acc_ChildCount(pacc);95;ACC_more.ahk
Acc_Children(Acc);81;ACC.ahk
Acc_ChildrenByRole(Acc, Role);116;ACC.ahk
Acc_ChildrenByRole(Acc, Role);3717;MISC Functions.ahk
Acc_ChildrenByRole(Acc, Role);3880;MISC Functions.ahk
acc_DefaultAction(pacc, idChild = 0);193;ACC_more.ahk
acc_Description(pacc, idChild = 0);115;ACC_more.ahk
acc_DoDefaultAction(pacc, idChild = 0);238;ACC_more.ahk
"Acc_Error(p="""")";112;ACC.ahk
"Acc_Error(p="""")";3713;MISC Functions.ahk
"Acc_Error(p="""")";3876;MISC Functions.ahk
acc_Focus(pacc);181;ACC_more.ahk
"Acc_Get(Cmd, ChildPath="""", ChildID=0, WinTitle="""", WinText="""", ExcludeTitle="""", ExcludeText="""")";136;ACC.ahk
"Acc_Get(Cmd, ChildPath="""", ChildID=0, WinTitle="""", WinText="""", ExcludeTitle="""", ExcludeText="""")";3663;MISC Functions.ahk
"Acc_Get(Cmd, ChildPath="""", ChildID=0, WinTitle="""", WinText="""", ExcludeTitle="""", ExcludeText="""")";3826;MISC Functions.ahk
Acc_GetRoleText(nRole);37;ACC.ahk
ACC_GetRoleText(nRole);52;ACC_more.ahk
Acc_GetStateText(nState);43;ACC.ahk
ACC_GetStateText(nState);59;ACC_more.ahk
acc_Help(pacc, idChild = 0);166;ACC_more.ahk
acc_HelpTopic(pacc, idChild = 0);171;ACC_more.ahk
acc_Hex(num);252;ACC_more.ahk
"acc_HitTest(pacc, x = """", y = """")";231;ACC_more.ahk
Acc_Init();13;ACC.ahk
ACC_Init();7;ACC_more.ahk
acc_KeyboardShortcut(pacc, idChild = 0);176;ACC_more.ahk
Acc_Location(Acc, ChildId=0);94;ACC.ahk
"acc_Location(pacc, idChild = 0, ByRef l = """", ByRef t = """", ByRef w = """", ByRef h = """")";210;ACC_more.ahk
"Acc_Location2(Acc, ChildId=0, byref Position="""")";74;ACC.ahk
acc_Name(pacc, idChild = 0);105;ACC_more.ahk
"acc_Name_(pacc, idChild = 0, sName = """")";243;ACC_more.ahk
acc_Navigate(pacc, idChild = 0, nDir = 7);215;ACC_more.ahk
Acc_ObjectFromEvent(ByRef _idChild_, hWnd, idObject, idChild);18;ACC.ahk
"Acc_ObjectFromPoint(ByRef _idChild_ = """", x = """", y = """")";23;ACC.ahk
